N;data;resultado;mandante;gremio;inter;saldo_gremio;saldo_inter;campeonato;estadio;gols
124;02/12/1951;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Citadino;Eucaliptos;Ferraz (G), Ferraz (G), Solis (I), Huguinho (I)
125;13/07/1952;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Amistoso;Baixada;Gita (G), Camacho (G), Camargo (I)
126;17/08/1952;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Amistoso;Outros;Pedrinho (G), Bodinho (I)
127;12/10/1952;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Citadino;Baixada;
128;07/12/1952;Internacional 5 X 1 Grêmio;Internacional;1;5;-4;4;Citadino;Eucaliptos;Jerônimo (I), Jerônimo (I), Salvador (I), Bodinho (I), Luizinho (I), Sarará (G)
129;08/12/1952;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Amistoso;Eucaliptos;Camacho (G), Huguinho (I)
130;05/07/1953;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Citadino;Eucaliptos;Torres (G), Bodinho (I)
131;01/11/1953;Grêmio 0 X 2 Internacional;Grêmio;0;2;-2;2;Citadino;Baixada;Jerônimo (I), Canhotinho (I)
132;11/02/1954;Grêmio 2 X 3 Internacional;Grêmio;2;3;-1;1;Amistoso;Outros;Airton (I), Airton (I), Vitor (G), Torres (G)
133;18/07/1954;Internacional 3 X 1 Grêmio;Internacional;1;3;-2;2;Amistoso;Eucaliptos;Bodinho (I), Bodinho (I), Larry (I), Itamar (G)
134;25/07/1954;Grêmio 0 X 4 Internacional;Grêmio;0;4;-4;4;Citadino;Outros;Larry (I), Larry (I), Oreco (I), Luizinho (I)
135;26/09/1954;Grêmio 2 X 6 Internacional;Grêmio;2;6;-4;4;Amistoso;Olímpico;Jerônimo (I), Larry (I), Larry (I), Larry (I), Larry (I), Sarará (G), Canhotinho (I), Zunino (G)
136;31/10/1954;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Citadino;Olímpico;Zunino (G), Bodinho (I)
137;09/01/1955;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Amistoso;Eucaliptos;Larry (I), Bodinho (I), Chico Preto (G)
138;24/07/1955;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Olímpico;Zunino (G), Milton (G), Chinesinho (I)
139;06/11/1955;Internacional 3 X 1 Grêmio;Internacional;1;3;-2;2;Citadino;Eucaliptos;Jerônimo (I), Bodinho (I), Bodinho (I), Lindoberto (contra, G)
140;02/09/1956;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Olímpico;Hercílio (G), Larry (I), Juarez (G)
141;12/12/1956;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Citadino;Eucaliptos;Ivo Diogo (I)
142;28/07/1957;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Citadino;Eucaliptos;Milton Kuelle (G), Ivo Diogo (I)
143;01/12/1957;Grêmio 5 X 3 Internacional;Grêmio;5;3;2;-2;Citadino;Olímpico;Gessy (G), Gessy (G), Gessy (G), Vieira (G), Oswaldo (G), Airton (contra, I), Luizinho (I), Bodinho (I)
144;23/12/1957;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Citadino;Olímpico;Larry (I), Ivo Diogo (I), Juarez (G)
145;17/08/1958;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Citadino;Eucaliptos;Bodinho (I), Vieira (G), Gessy (G)
146;21/12/1958;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Citadino;Olímpico;Orlando (contra, I)
147;05/02/1959;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Citadino;Olímpico;Giovani (G), Juarez (G), Tati (I), Canhotinho (I)
148;26/04/1959;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Amistoso;Eucaliptos;Gessy (G), Gessy (G), Cacaio (I)
149;16/08/1959;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Citadino;Eucaliptos;Juarez (G), Juarez (G), Ivo Diogo (I)
150;29/11/1959;Grêmio 4 X 1 Internacional;Grêmio;4;1;3;-3;Citadino;Olímpico;Milton Kuelle (G), Élton (G), Élton (G), Gessy (G), Deraldo (I)
151;05/01/1960;Grêmio 2 X 3 Internacional;Grêmio;2;3;-1;1;Citadino;Olímpico;Ivo Diogo (I), Alfeu (I), Alfeu (I), Gessy (G), Juarez (G)
152;21/04/1960;Internacional 0 X 3 Grêmio;Internacional;3;0;3;-3;Amistoso;Eucaliptos;Milton Kuelle (G), Milton Kuelle (G), Élton (G)
153;21/08/1960;Internacional 1 X 5 Grêmio;Internacional;5;1;4;-4;Citadino;Eucaliptos;Juarez (G), Juarez (G), Juarez (G), Gessy (G), Vieira (G), Ivo Diogo (I)
154;20/11/1960;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Citadino;Olímpico;Juarez (G), Deraldo (I)
155;23/12/1960;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Citadino;Olímpico;Ivo Diogo (I), Alfeu (I), Cardoso (G)
156;10/09/1961;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Gaúcho;Olímpico;Gilberto Andrade (I), Alfeu (I), Paulo Lumumba (G)
157;10/12/1961;Internacional 2 X 3 Grêmio;Internacional;3;2;1;-1;Gaúcho;Eucaliptos;Alfeu (I), Alfeu (I), Nadir (G), Marino (G), Juarez (G)
158;16/02/1962;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Outros;Olímpico;Élton (G), Sérgio Lopes (I)
159;18/03/1962;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Outros;Eucaliptos;Joãozinho (G), Vieira (G), Sapiranga (I)
160;12/08/1962;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Olímpico;
161;07/09/1962;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Amistoso;Outros;Élton (G), Marino (G), Flávio (I)
162;09/09/1962;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Amistoso;Olímpico;Milton Kuelle (G), Zangão (I)
163;16/12/1962;Internacional 0 X 2 Grêmio;Internacional;2;0;2;-2;Gaúcho;Eucaliptos;Marino (G), Marino (G)
164;07/02/1963;Grêmio 4 X 2 Internacional;Grêmio;4;2;2;-2;Gaúcho;Olímpico;Ivo Diogo (G), Ivo Diogo (G), Joãozinho (G), Vieira (G), Flávio (I), Soligo (I)
165;14/04/1963;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Amistoso;Eucaliptos;Flávio (I), Flávio (I), Marino (G)
